City,State,Population
Mumbai‡,"12,442,373","11,978,450"
Delhi‡,"11,034,555","9,879,172"
Bengaluru‡,"8,443,675","5,682,293"
Hyderabad‡,"6,993,262","5,496,960"
Chennai‡,"6,748,026","4,343,645"
Ahmedabad‡,"5,577,940","4,470,006"
Kolkata‡,"4,496,694","4,580,546"
Surat,"4,467,797","2,788,126"
Pune,"3,124,458","2,538,473"
Jaipur‡,"3,046,163","2,322,575"
Lucknow‡,"2,817,105","2,185,927"
Kanpur,"2,765,348","2,551,337"
Nagpur,"2,405,665","2,052,066"
Indore‡,"1,964,086","1,503,237"
Thane,"1,841,488","1,262,551"
Bhopal‡,"1,798,218","1,458,416"
Visakhapatnam‡,"1,728,128","1,345,938"
Pimpri-Chinchwad,"1,727,692","1,020,448"
